run_id,started_at,mode,condition,N,target_hz,modules,block,batch_id,repeat,old_relative_path,new_relative_path,duration_s,main_duration_s,main_packets,main_status,full_status,full_review_reasons,main_rate_Hz,main_Lmean_B,main_packet_Mbit_s,main_raw_arrival_Mbit_s,main_K_ESKD_mean,main_q_ESKF,main_ESKF_count,main_ESKD_count,source_local_firmware,deployment_confirmed,main_eligible,main_review_reasons,main_outer_crc_errors,main_outer_missing_sequence_numbers,main_missing_valid_expected_updates,main_interior_unassigned_raw_bytes,source_review,timing_note,replacement_batch_id,primary_matrix_selected,selection_reason,pc_max_completion_gap_ms,host_max_enqueue_gap_ms,host_packet_span_rate_Hz,independent_raw_audit,load_layers,load_description,independent_review_reasons,main_inner_sequence_events
20260907_013132_404213,2026-09-07T01:31:32.404213+01:00,DELTA,zero_load,1,200,M0,1,BATCH_2f989cb36d334ac587213f1a297dc628,1,20260907_013132_404213,DELTA/Zero_load/N=1/200Hz/M0/Repeat_1,40.002336899982765,30.002336899982765,6004,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.11774482818532,144.43271152564958,0.23122838807946275,0.23122865472535858,7.8572145965852025,0.004996668887408394,30,5974,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_zero_review,PC completion timestamps are buffered; packet rate per PC window is not physical scan rate. Max PC gap 239.0732 ms; max bridge gap 7 ms; consecutive sequences.,,True,original_complete_three_window_batch,239.07320000580512,7.0,200.1266835578077,PASS_no_detected_internal_transport_or_cache_chain_errors,,,,
20260907_013212_470890,2026-09-07T01:32:12.470890+01:00,DELTA,zero_load,1,200,M0,1,BATCH_2f989cb36d334ac587213f1a297dc628,2,20260907_013212_470890,DELTA/Zero_load/N=1/200Hz/M0/Repeat_2,40.00094880000688,30.00094880000688,6005,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file,200.1603362623859,145.56269775187343,0.23308702823420024,0.23308702823420024,8.34650150652829,0.005162364696086595,31,5974,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_zero_review,PC completion timestamps are buffered; packet rate per PC window is not physical scan rate. Max PC gap 184.2523 ms; max bridge gap 7 ms; consecutive sequences.,,True,original_complete_three_window_batch,184.25229997956194,7.0,200.12666244458518,PASS_no_detected_internal_transport_or_cache_chain_errors,,,,
20260907_013252_522986,2026-09-07T01:32:52.522986+01:00,DELTA,zero_load,1,200,M0,1,BATCH_2f989cb36d334ac587213f1a297dc628,3,20260907_013252_522986,DELTA/Zero_load/N=1/200Hz/M0/Repeat_3,40.00101000000723,30.001010000007227,6003,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.0932635267464,147.97701149425288,0.23687362525455938,0.23687389191224856,9.637870416875941,0.004997501249375313,30,5973,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_zero_review,PC completion timestamps are buffered; packet rate per PC window is not physical scan rate. Max PC gap 125.1519 ms; max bridge gap 7 ms; consecutive sequences.,,True,original_complete_three_window_batch,125.15189999248832,7.0,200.12003200853562,PASS_no_detected_internal_transport_or_cache_chain_errors,,,,
20260907_013403_341631,2026-09-07T01:34:03.341631+01:00,DELTA,zero_load,1,200,M1,1,BATCH_8bcb3e1a139a4809be4bd491c4a085c4,1,20260907_013403_341631,DELTA/Zero_load/N=1/200Hz/M1/Repeat_1,40.00371339998674,30.003713399986736,6010,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file,200.30853914244685,130.19068219633942,0.20862644288565851,0.20862644288565851,0.7028428093645485,0.004991680532445923,30,5980,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_zero_review,PC completion timestamps are buffered; packet rate per PC window is not physical scan rate. Max PC gap 88.2176 ms; max bridge gap 7 ms; consecutive sequences.,,True,original_complete_three_window_batch,88.21759998681955,7.0,200.3534275806882,PASS_no_detected_internal_transport_or_cache_chain_errors,,,,
20260907_013443_415053,2026-09-07T01:34:43.415053+01:00,DELTA,zero_load,1,200,M1,1,BATCH_8bcb3e1a139a4809be4bd491c4a085c4,2,20260907_013443_415053,DELTA/Zero_load/N=1/200Hz/M1/Repeat_2,40.00354750000406,30.00354750000406,6011,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file,200.34297610971458,130.2412244218932,0.20874331610284258,0.20874331610284258,0.7286406955358635,0.004990850108135086,30,5981,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_zero_review,PC completion timestamps are buffered; packet rate per PC window is not physical scan rate. Max PC gap 44.5107 ms; max bridge gap 7 ms; consecutive sequences.,,True,original_complete_three_window_batch,44.51069998322055,7.0,200.3466897793186,PASS_no_detected_internal_transport_or_cache_chain_errors,,,,
20260907_013523_479494,2026-09-07T01:35:23.479494+01:00,DELTA,zero_load,1,200,M1,1,BATCH_8bcb3e1a139a4809be4bd491c4a085c4,3,20260907_013523_479494,DELTA/Zero_load/N=1/200Hz/M1/Repeat_3,40.00044139998499,30.000441399984993,6011,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.3637186485865,130.18798868740643,0.20867959629431093,0.20867959629431093,0.7018893161678649,0.004990850108135086,30,5981,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_zero_review,PC completion timestamps are buffered; packet rate per PC window is not physical scan rate. Max PC gap 155.8733 ms; max bridge gap 7 ms; consecutive sequences.,,True,original_complete_three_window_batch,155.87329998379573,7.0,200.35336867020035,PASS_no_detected_internal_transport_or_cache_chain_errors,,,,
20260907_013624_365237,2026-09-07T01:36:24.365237+01:00,DELTA,zero_load,1,200,M2,1,BATCH_b2fdee22f9b94a5f97759036b00fa981,1,20260907_013624_365237,DELTA/Zero_load/N=1/200Hz/M2/Repeat_1,40.00114300000132,30.00114300000132,6003,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.09237648044729,171.0304847576212,0.2737751691660427,0.27377543582254976,21.222501255650428,0.004997501249375313,30,5973,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_zero_review,PC completion timestamps are buffered; packet rate per PC window is not physical scan rate. Max PC gap 86.9188 ms; max bridge gap 7 ms; consecutive sequences.,,True,original_complete_three_window_batch,86.91879999241792,7.0,200.16675004168752,PASS_no_detected_internal_transport_or_cache_chain_errors,,,,
20260907_013704_454625,2026-09-07T01:37:04.454625+01:00,DELTA,zero_load,1,200,M2,1,BATCH_b2fdee22f9b94a5f97759036b00fa981,2,20260907_013704_454625,DELTA/Zero_load/N=1/200Hz/M2/Repeat_2,40.00262300000759,30.00262300000759,6008,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.24915821521606,169.92210386151797,0.2722140660834199,0.2722143327267731,20.66744730679157,0.004993342210386152,30,5978,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_zero_review,PC completion timestamps are buffered; packet rate per PC window is not physical scan rate. Max PC gap 152.8174 ms; max bridge gap 7 ms; consecutive sequences.,,True,original_complete_three_window_batch,152.8173999977298,7.0,200.16661112962345,PASS_no_detected_internal_transport_or_cache_chain_errors,,,,
20260907_013744_540625,2026-09-07T01:37:44.540625+01:00,DELTA,zero_load,1,200,M2,1,BATCH_b2fdee22f9b94a5f97759036b00fa981,3,20260907_013744_540625,DELTA/Zero_load/N=1/200Hz/M2/Repeat_3,40.000495599990245,30.000495599990245,6005,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file,200.16335996802508,170.95686927560365,0.27375441091055414,0.27375441091055414,21.186276150627616,0.004995836802664446,30,5975,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_zero_review,PC completion timestamps are buffered; packet rate per PC window is not physical scan rate. Max PC gap 85.6698 ms; max bridge gap 7 ms; consecutive sequences.,,True,original_complete_three_window_batch,85.66979999886826,7.0,200.16002133617815,PASS_no_detected_internal_transport_or_cache_chain_errors,,,,
20260907_013917_548818,2026-09-07T01:39:17.548818+01:00,DELTA,zero_load,1,200,M3,1,BATCH_6f194970f8d14e3c94be44510f39fa22,1,20260907_013917_548818,DELTA/Zero_load/N=1/200Hz/M3/Repeat_1,40.00327020001714,30.00327020001714,6009,PASS,CHECK REQUIRED,initial_delta_prefix_cache_not_verifiable_from_file;unassigned_raw_bytes_in_full_capture,200.27816834434825,134.40971875520054,0.21535465823976443,0.21535492487736582,2.822545576183308,0.004992511233150275,30,5979,four-module-variable-spi,False,True,,0,0,0,0,20260907_delta_zero_review,PC completion timestamps are buffered; packet rate per PC window is not physical scan rate. Max PC gap 116.6496 ms; max bridge gap 7 ms; consecutive sequences.,,True,original_complete_three_window_batch,116.64960000780411,7.0,200.33344448149384,PASS_no_detected_internal_transport_or_cache_chain_errors,,,,
