run_id,state,frequency_hz,protocol_mode,load,N,combo,repeat,source_path,source_kind,module_id,code,field,detail,raw_values_preserved
PS01_N1_F200_MAX_M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/PS01_N1_F200_MAX_M1_USB_RX_R1.yaml,continuous_yaml,,FAULT_DEFAULTS_UNVERIFIED,"reset_count,current_limit_count,brownout_count,data_stop_count,data_gap_count",Template-default counters are not independently confirmed observations.,True
PS01_N1_F200_MAX_M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/PS01_N1_F200_MAX_M1_USB_RX_R1.yaml,continuous_yaml,,DURATION_FIELDS_UNVERIFIED,"warmup_duration_s,measurement_duration_s","30 s and 10 s are prefilled nominal metadata, not independently verified elapsed durations.",True
PS01_N1_F200_MAX_M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/full_load/PS01_N1_F200_MAX_M1_USB_RX_R1.yaml,continuous_yaml,,LOAD_APPLICATION_UNSPECIFIED,"load_mass_g,load_area_mm2,load_application","2000 g is recorded but per-module/system distribution, contact area, position and layer are unresolved.",True
PS01_N1_F200_ZERO_M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,date,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_ZERO_M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,measurement_start_time,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_ZERO_M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,operator,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_ZERO_M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml,continuous_yaml,,FAULT_DEFAULTS_UNVERIFIED,"reset_count,current_limit_count,brownout_count,data_stop_count,data_gap_count",Template-default counters are not independently confirmed observations.,True
PS01_N1_F200_ZERO_M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M1/zero_load/PS01_N1_F200_ZERO_M1_USB_RX_R1.yaml,continuous_yaml,,DURATION_FIELDS_UNVERIFIED,"warmup_duration_s,measurement_duration_s","30 s and 10 s are prefilled nominal metadata, not independently verified elapsed durations.",True
PS01_N1_F200_MAX_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,date,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_MAX_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,measurement_start_time,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_MAX_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,operator,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_MAX_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml,continuous_yaml,,FAULT_DEFAULTS_UNVERIFIED,"reset_count,current_limit_count,brownout_count,data_stop_count,data_gap_count",Template-default counters are not independently confirmed observations.,True
PS01_N1_F200_MAX_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml,continuous_yaml,,DURATION_FIELDS_UNVERIFIED,"warmup_duration_s,measurement_duration_s","30 s and 10 s are prefilled nominal metadata, not independently verified elapsed durations.",True
PS01_N1_F200_MAX_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/full_load/PS01_N1_F200_MAX_M2_USB_RX_R1.yaml,continuous_yaml,,LOAD_APPLICATION_UNSPECIFIED,"load_mass_g,load_area_mm2,load_application","2000 g is recorded but per-module/system distribution, contact area, position and layer are unresolved.",True
PS01_N1_F200_ZERO_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,date,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_ZERO_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,measurement_start_time,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_ZERO_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,operator,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_ZERO_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml,continuous_yaml,,FAULT_DEFAULTS_UNVERIFIED,"reset_count,current_limit_count,brownout_count,data_stop_count,data_gap_count",Template-default counters are not independently confirmed observations.,True
PS01_N1_F200_ZERO_M2_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M2,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M2/zero_load/PS01_N1_F200_ZERO_M2_USB_RX_R1.yaml,continuous_yaml,,DURATION_FIELDS_UNVERIFIED,"warmup_duration_s,measurement_duration_s","30 s and 10 s are prefilled nominal metadata, not independently verified elapsed durations.",True
PS01_N1_F200_MAX_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,date,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_MAX_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,measurement_start_time,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_MAX_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,operator,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_MAX_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml,continuous_yaml,,FAULT_DEFAULTS_UNVERIFIED,"reset_count,current_limit_count,brownout_count,data_stop_count,data_gap_count",Template-default counters are not independently confirmed observations.,True
PS01_N1_F200_MAX_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml,continuous_yaml,,DURATION_FIELDS_UNVERIFIED,"warmup_duration_s,measurement_duration_s","30 s and 10 s are prefilled nominal metadata, not independently verified elapsed durations.",True
PS01_N1_F200_MAX_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/full_load/PS01_N1_F200_MAX_M3_USB_RX_R1.yaml,continuous_yaml,,LOAD_APPLICATION_UNSPECIFIED,"load_mass_g,load_area_mm2,load_application","2000 g is recorded but per-module/system distribution, contact area, position and layer are unresolved.",True
PS01_N1_F200_ZERO_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,date,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_ZERO_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,measurement_start_time,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_ZERO_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,operator,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N1_F200_ZERO_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml,continuous_yaml,,FAULT_DEFAULTS_UNVERIFIED,"reset_count,current_limit_count,brownout_count,data_stop_count,data_gap_count",Template-default counters are not independently confirmed observations.,True
PS01_N1_F200_ZERO_M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,1,M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=1/M3/zero_load/PS01_N1_F200_ZERO_M3_USB_RX_R1.yaml,continuous_yaml,,DURATION_FIELDS_UNVERIFIED,"warmup_duration_s,measurement_duration_s","30 s and 10 s are prefilled nominal metadata, not independently verified elapsed durations.",True
PS01_N2_F200_MAX_M0-M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,2,M0+M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,date,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N2_F200_MAX_M0-M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,2,M0+M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,measurement_start_time,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N2_F200_MAX_M0-M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,2,M0+M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,continuous_yaml,,MISSING_ACQUISITION_METADATA,operator,Not recorded; photograph filename is not accepted as a confirmed acquisition timestamp.,True
PS01_N2_F200_MAX_M0-M1_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,2,M0+M1,1,DATA/raw/canonical/power_experiment_records/transmission/n=2/M0-M1/full_load/PS01_N2_F200_MAX_M0-M1_USB_RX_R1.yaml,continuous_yaml,,FAULT_DEFAULTS_UNVERIFIED,"reset_count,current_limit_count,brownout_count,data_stop_count,data_gap_count",Template-default counters are not independently confirmed observations.,True
