source,actual_load_g,row,column,raw_adc,common_valid,status,quality_flags,linear_g,gamma_g,fit_g
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,1,2.5,True,ok,FULL_UNSTABLE,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,2,1.5,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,3,3.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,4,0.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,5,7.0,True,ok,,13.333333333333332,2.5283950617283944e-07,8.423076923076923
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,6,17.0,True,ok,,12.636899747262005,2.040103248547207e-07,7.551724137931034
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,7,282.0,True,ok,,264.9325626204239,0.039412260828087596,71.06194690265487
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,8,212.5,True,ok,,0.0,0.0,73.66666666666667
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,9,215.0,True,ok,,0.0,0.0,71.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,10,13.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,11,3.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,12,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,13,1.0,True,ok,,0.0,0.0,0.0
D:\study\programming\ESKIN\E-SKIN\docs\Final\Calibration scalability\DATA\module_1\FSR2\evaluation\view_distribution\load_0g_20260907_100900_754027\view_distribution_capture.json,0.0,1,14,1.0,True,ok,,0.0,0.0,0.0
